,2013,2014,2015
NSW,11123.42,9772.99,9229.95
VIC,6885.6,6774.55,5531.73
QLD,2156.0,1516.17,1417.0
SA,6469.73,7221.3,7574.45
WA,11243.12,16509.8,14550.73
