YEAR,NSW,VIC,QLD,SA,WA
2005,10712.18,4214.43,1391.21,5297.51,12977.8
2006,11981.27,6266.82,1433.41,7517.85,13944.65
2007,3794.1,1747.9,924.21,2793.12,8278.14
2008,3999.2,4691.66,1194.12,4705.72,10760.5
2009,9438.38,3887.36,2325.57,4863.38,13784.56
2010,7786.96,5889.08,1616.87,7035.46,12943.04
2011,14783.65,7625.2,1820.61,9316.13,8044.14
2012,11952.07,7351.99,2328.7,7371.48,16600.02
2013,11123.42,6885.6,2156.0,6469.73,11243.12
2014,9772.99,6774.55,1516.17,7221.3,16509.8
2015,9229.95,5531.73,1417.0,7574.45,14550.73
