YEAR,NSW,VIC,QLD,SA,WA
2005,6438.78,3191.53,856.94,3964.48,7932.23
2006,5592.94,2969.21,965.64,3868.15,7406.69
2007,5671.15,3081.9,808.08,4140.69,6477.25
2008,6311.97,3375.03,872.57,4130.83,7264.55
2009,6295.02,3491.56,1208.45,3978.71,7899.27
2010,6105.97,3488.44,1172.97,3782.86,8270.62
2011,6157.61,3456.77,1216.74,3821.06,7715.1
2012,5969.05,3410.52,1204.96,3837.85,8252.25
2013,5852.16,3457.01,1222.32,3776.29,8097.21
2014,5313.87,3284.05,1105.31,3448.35,8248.89
2015,5840.5,3384.91,1129.5,3986.0,8271.5
