YEAR,NSW,VIC,QLD,SA,NSW_AREA,VIC_AREA,QLD_AREA,SA_AREA
2005,10712.18,4214.43,1391.21,5297.51,6438.78,3191.53,856.94,3964.48
2006,11981.27,6266.82,1433.41,7517.85,5592.94,2969.21,965.64,3868.15
2007,3794.1,1747.9,924.21,2793.12,5671.15,3081.9,808.08,4140.69
2008,3999.2,4691.66,1194.12,4705.72,6311.97,3375.03,872.57,4130.83
2009,9438.38,3887.36,2325.57,4863.38,6295.02,3491.56,1208.45,3978.71
2010,7786.96,5889.08,1616.87,7035.46,6105.97,3488.44,1172.97,3782.86
2011,14783.65,7625.2,1820.61,9316.13,6157.61,3456.77,1216.74,3821.06
2012,11952.07,7351.99,2328.7,7371.48,5969.05,3410.52,1204.96,3837.85
2013,11123.42,6885.6,2156.0,6469.73,5852.16,3457.01,1222.32,3776.29
2014,9772.99,6774.55,1516.17,7221.3,5313.87,3284.05,1105.31,3448.35
2015,9229.95,5531.73,1417.0,7574.45,5840.5,3384.91,1129.5,3986.0
