YEAR,NSW,VIC
2005,10712.18,4214.43
2006,11981.27,6266.82
2007,3794.1,1747.9
2008,3999.2,4691.66
2009,9438.38,3887.36
2010,7786.96,5889.08
2011,14783.65,7625.2
2012,11952.07,7351.99
2013,11123.42,6885.6
2014,9772.99,6774.55
2015,9229.95,5531.73
