YEAR,NSW,VIC,QLD,SA,WA
2005,10.71218,4.21443,1.39121,5.29751,12.9778
2006,11.98127,6.26682,1.43341,7.51785,13.94465
2007,3.7941,1.7479,0.92421,2.79312,8.27814
2008,3.9992,4.69166,1.19412,4.70572,10.7605
2009,9.43838,3.88736,2.32557,4.86338,13.78456
2010,7.78696,5.88908,1.61687,7.03546,12.94304
2011,14.78365,7.6252,1.82061,9.31613,8.04414
2012,11.95207,7.35199,2.3287,7.37148,16.60002
2013,11.12342,6.8856,2.156,6.46973,11.24312
2014,9.77299,6.77455,1.51617,7.2213,16.5098
2015,9.22995,5.53173,1.417,7.57445,14.55073
