YEAR,NSW,VIC,QLD,SA,WA
2005,10.71218,4.21443,1.39121,5.29751,12.977799999999998
2006,11.98127,6.26682,1.43341,7.51785,13.94465
2007,3.7941,1.7479,0.9242100000000001,2.79312,8.278139999999999
2008,3.9991999999999996,4.69166,1.1941199999999998,4.70572,10.7605
2009,9.438379999999999,3.88736,2.3255700000000004,4.86338,13.784559999999999
2010,7.78696,5.88908,1.6168699999999998,7.03546,12.943040000000002
2011,14.78365,7.6251999999999995,1.8206099999999998,9.31613,8.04414
2012,11.952069999999999,7.35199,2.3287,7.371479999999999,16.60002
2013,11.12342,6.8856,2.156,6.469729999999999,11.243120000000001
2014,9.77299,6.7745500000000005,1.51617,7.2213,16.5098
2015,9.22995,5.53173,1.417,7.57445,14.55073
