YEAR,Area,Production
2005,22406.56,34670.87
2006,20827.36,41225.99
2007,20207.43,17580.23
2008,21977.81,25415.23
2009,22900.64,34377.57
2010,22844.45,35343.8
2011,22391.84,41672.13
2012,22693.46,45669.85
2013,22420.68,37933.91
2014,21421.15,41880.23
2015,22632.37,38381.95
